lead_id,lead_date,patient_id,lead_source,campaign,clinic,lead_status,first_response_minutes,appointment_booked,appointment_date
L00038,2025-09-06,,Google Organic,General Dentistry,Clinic D,Not Contacted/Cold,48,No,
L00039,2025-12-14,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,33,No,
L00040,2025-11-05,P00040,Google Ads,General Dentistry,Clinic A,Appointment Booked,16,Yes,
L00041,2025-05-27,P00041,Referral,Invisalign,Clinic B,Appointment Booked,31,Yes,
L00042,2025-08-21,P00042,Facebook,Dental Implant,Clinic B,Appointment Booked,21,Yes,
L00043,2025-07-15,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,25,No,
L00044,2025-03-01,P00044,Instagram,General Dentistry,Clinic C,Appointment Booked,34,Yes,2025-02-03
L00045,2025-08-05,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,19,No,
L00046,2025-11-16,,Instagram,Invisalign,Clinic B,Contacted - No Appointment,25,No,
L00047,2025-11-28,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,8,No,
L00048,2025-11-18,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,29,No,
L00049,2025-10-17,,Referral,General Dentistry,Clinic D,Contacted - No Appointment,4,No,
L00050,2025-01-29,P00050,Google Ads,Dental Implant,Clinic A,Appointment Booked,34,Yes,2025-04-02
L00051,2025-10-25,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,3,No,
L00052,2025-01-31,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,35,No,
L00053,2025-11-18,,Referral,Teeth Whitening,Clinic C,Contacted - No Appointment,26,No,
L00054,2025-09-15,P00054,Facebook,General Dentistry,Clinic C,Appointment Booked,19,Yes,
L00055,2025-05-07,,Facebook,Root Canal,Clinic B,Not Contacted/Cold,112,No,
L00056,2025-09-29,,Instagram,Root Canal,Clinic A,Contacted - No Appointment,30,No,
L00057,2025-06-27,,Facebook,Teeth Whitening,Clinic B,Not Contacted/Cold,49,No,
L00058,2025-08-22,P00058,Referral,Root Canal,Clinic B,Appointment Booked,13,Yes,
L00059,2025-08-22,,Referral,Dental Crown,Clinic D,Contacted - No Appointment,25,No,
L00060,2025-02-09,P00060,Facebook,Dental Crown,Clinic A,Appointment Booked,13,Yes,
L00061,2025-07-04,P00061,Instagram,Dental Implant,Clinic D,Appointment Booked,22,Yes,2025-08-07
L00062,2025-05-10,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,27,No,
L00063,2025-01-17,P00063,Google Organic,Invisalign,Clinic A,Appointment Booked,29,Yes,
L00064,2025-07-14,P00064,Google Organic,General Dentistry,Clinic B,Appointment Booked,4,Yes,
L00065,2025-08-04,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,13,No,
L00066,2025-08-14,,Google Ads,Teeth Whitening,Clinic D,Contacted - No Appointment,22,No,
L00067,2025-11-27,,Referral,Invisalign,Clinic B,Contacted - No Appointment,17,No,
L00068,2025-05-12,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,30,No,
L00069,2025-06-27,,Instagram,Invisalign,Clinic C,Contacted - No Appointment,7,No,
L00070,2025-08-30,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,28,No,
L00071,2025-01-31,P00071,Facebook,Dental Crown,Clinic B,Appointment Booked,11,Yes,2025-03-02
L00072,2025-05-29,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,13,No,
L00073,2025-09-10,,Facebook,Invisalign,Clinic A,Contacted - No Appointment,35,No,
L00074,2025-06-06,,Instagram,Dental Crown,Clinic A,Not Contacted/Cold,54,No,
L00075,2025-03-16,P00075,Google Ads,Teeth Whitening,Clinic B,Appointment Booked,21,Yes,
L00076,2025-06-02,,Facebook,Dental Implant,Clinic B,Contacted - No Appointment,43,No,
L00077,2025-01-22,,Referral,Root Canal,Clinic B,Contacted - No Appointment,13,No,
L00078,2025-02-18,P00078,Instagram,Root Canal,Clinic B,Appointment Booked,44,Yes,
L00079,2025-05-07,,Referral,Root Canal,Clinic B,Contacted - No Appointment,21,No,
L00080,2025-11-08,P00080,Referral,Invisalign,Clinic A,Appointment Booked,9,Yes,
L00081,2025-09-24,,Referral,Dental Crown,Clinic B,Contacted - No Appointment,6,No,
L00082,2025-12-16,P00082,Referral,Invisalign,Clinic D,Appointment Booked,67,Yes,
L00083,2025-06-13,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,40,No,
L00084,2025-08-09,,Referral,General Dentistry,Clinic B,Contacted - No Appointment,12,No,
L00085,2025-08-28,,Google Ads,Dental Crown,Clinic C,Contacted - No Appointment,43,No,
L00086,2025-09-16,P00086,Google Ads,Dental Crown,Clinic D,Appointment Booked,7,Yes,
L00087,2025-09-14,P00087,Google Ads,Dental Implant,Clinic A,Appointment Booked,12,Yes,
L00088,2025-01-04,P00088,Facebook,General Dentistry,Clinic C,Appointment Booked,10,Yes,
L00089,2025-02-11,,Instagram,Invisalign,Clinic C,Contacted - No Appointment,13,No,
L00090,2025-11-12,,Facebook,Dental Crown,Clinic C,Not Contacted/Cold,46,No,
L00091,2025-03-26,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,31,No,
L00092,2025-08-09,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,17,No,
L00093,2025-04-10,P00093,Facebook,Teeth Whitening,Clinic A,Appointment Booked,36,Yes,
L00094,2025-08-13,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,2,No,
L00095,2025-07-28,P00095,Google Ads,Dental Implant,Clinic C,Appointment Booked,18,Yes,2025-08-08
L00096,2025-08-26,,Google Ads,Teeth Whitening,Clinic A,Not Contacted/Cold,47,No,
L00097,2025-07-26,P00097,Google Ads,Dental Implant,Clinic D,Appointment Booked,11,Yes,2025-07-08
L00098,2025-02-05,,Facebook,Teeth Whitening,Clinic A,Contacted - No Appointment,31,No,
L00099,2025-11-06,,Instagram,Dental Implant,Clinic D,Contacted - No Appointment,16,No,
L00100,2025-05-08,P00100,Facebook,General Dentistry,Clinic B,Appointment Booked,27,Yes,
L00101,2025-01-07,P00101,Facebook,Dental Implant,Clinic A,Appointment Booked,22,Yes,
L00102,2025-02-03,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,23,No,
L00103,2025-09-16,P00103,Facebook,Dental Crown,Clinic D,Appointment Booked,7,Yes,
L00104,2025-11-03,,Referral,Root Canal,Clinic A,Contacted - No Appointment,20,No,
L00105,2025-01-12,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,17,No,
L00106,2025-09-07,,Google Organic,Root Canal,Clinic B,Contacted - No Appointment,3,No,
L00107,2025-02-08,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,11,No,
L00108,2025-10-19,P00108,Google Ads,Root Canal,Clinic C,Appointment Booked,10,Yes,
L00109,2025-09-13,,Referral,Root Canal,Clinic A,Contacted - No Appointment,29,No,
L00110,2025-10-12,P00110,Google Organic,Dental Crown,Clinic B,Appointment Booked,30,Yes,
L00111,2025-02-01,P00111,Google Organic,Invisalign,Clinic A,Appointment Booked,9,Yes,2025-11-02
L00112,2025-01-31,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,16,No,
L00113,2025-02-10,,Instagram,Root Canal,Clinic B,Contacted - No Appointment,4,No,
L00114,2025-09-16,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,9,No,
L00115,2025-08-03,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,20,No,
L00116,2025-09-30,,Google Organic,General Dentistry,Clinic B,Not Contacted/Cold,58,No,
L00117,2025-06-30,P00117,Referral,Dental Implant,Clinic B,Appointment Booked,38,Yes,2025-10-07
L00118,2025-05-08,,Google Ads,Dental Crown,Clinic D,Contacted - No Appointment,41,No,
L00119,2025-01-15,P00119,Google Organic,Root Canal,Clinic D,Appointment Booked,9,Yes,
L00120,2025-12-25,P00120,Google Organic,Dental Implant,Clinic D,Appointment Booked,12,Yes,
L00121,2025-09-22,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,13,No,
L00122,2025-03-01,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,32,No,
L00123,2025-07-30,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,14,No,
L00124,2025-01-01,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,31,No,
L00125,2025-05-05,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,19,No,
L00126,2025-03-17,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,33,No,
L00127,2025-11-26,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,43,No,
L00128,2025-07-31,P00128,Google Organic,Teeth Whitening,Clinic D,Appointment Booked,13,Yes,2025-07-08
L00129,2025-06-19,P00129,Google Organic,General Dentistry,Clinic B,Appointment Booked,27,Yes,2025-02-07
L00130,2025-08-09,P00130,Google Ads,Dental Implant,Clinic C,Appointment Booked,5,Yes,
L00131,2025-10-02,P00131,Facebook,Teeth Whitening,Clinic B,Appointment Booked,14,Yes,
L00132,2025-11-08,,Referral,Dental Crown,Clinic A,Contacted - No Appointment,24,No,
L00133,2025-05-28,,Facebook,Dental Implant,Clinic C,Not Contacted/Cold,58,No,
L00134,2025-06-25,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,18,No,
L00135,2025-07-05,,Google Organic,Dental Implant,Clinic B,Not Contacted/Cold,47,No,
L00136,2025-01-21,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,39,No,
L00137,2025-05-02,P00137,Referral,Root Canal,Clinic C,Appointment Booked,11,Yes,2025-08-05
L00138,2025-02-25,,Facebook,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00139,2025-10-08,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,6,No,
L00140,2025-08-07,P00140,Google Ads,Dental Crown,Clinic D,Appointment Booked,97,Yes,
L00141,2025-07-05,P00141,Google Ads,Invisalign,Clinic B,Appointment Booked,16,Yes,2025-10-07
L00142,2025-08-09,,Google Ads,Dental Crown,Clinic B,Contacted - No Appointment,32,No,
L00143,2025-12-10,,Google Organic,Teeth Whitening,Clinic C,Contacted - No Appointment,31,No,
L00144,2025-05-12,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,14,No,
L00145,2025-11-19,P00145,Referral,Teeth Whitening,Clinic D,Appointment Booked,10,Yes,
L00146,2025-02-14,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,20,No,
L00147,2025-07-05,,Facebook,Dental Implant,Clinic C,Contacted - No Appointment,42,No,
L00148,2025-11-09,P00148,Facebook,Invisalign,Clinic C,Appointment Booked,13,Yes,2025-10-11
L00149,2025-10-31,,Google Organic,Dental Crown,Clinic D,Not Contacted/Cold,47,No,
L00150,2025-07-25,P00150,Facebook,Root Canal,Clinic A,Appointment Booked,25,Yes,2025-01-08
L00151,2025-05-18,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,8,No,
L00152,2025-03-24,,Referral,Dental Crown,Clinic C,Contacted - No Appointment,6,No,
L00153,2025-02-22,,Facebook,Root Canal,Clinic B,Contacted - No Appointment,26,No,
L00154,2025-06-30,P00154,Google Ads,Root Canal,Clinic B,Appointment Booked,13,Yes,2025-03-07
L00155,2025-11-09,,Facebook,Teeth Whitening,Clinic B,Not Contacted/Cold,47,No,
L00156,2025-08-26,P00156,Instagram,Root Canal,Clinic C,Appointment Booked,29,Yes,2025-03-09
L00157,2025-08-31,P00157,Google Ads,Dental Implant,Clinic D,Appointment Booked,21,Yes,
L00158,2025-04-03,P00158,Google Organic,Dental Implant,Clinic C,Appointment Booked,11,Yes,
L00159,2025-06-01,,Instagram,General Dentistry,Clinic C,Not Contacted/Cold,58,No,
L00160,2025-09-24,,Instagram,General Dentistry,Clinic C,Contacted - No Appointment,7,No,
L00161,2025-08-24,,Facebook,Dental Crown,Clinic A,Contacted - No Appointment,19,No,
L00162,2025-03-05,,Referral,Root Canal,Clinic A,Contacted - No Appointment,17,No,
L00163,2025-08-07,,Google Ads,General Dentistry,Clinic B,Contacted - No Appointment,22,No,
L00164,2025-11-22,,Instagram,Dental Crown,Clinic B,Contacted - No Appointment,5,No,
L00165,2025-06-22,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,4,No,
L00166,2025-01-06,,Google Organic,Teeth Whitening,Clinic B,Contacted - No Appointment,10,No,
L00167,2025-04-30,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,13,No,
L00168,2025-05-28,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,14,No,
L00169,2025-04-25,P00169,Google Organic,Invisalign,Clinic B,Appointment Booked,11,Yes,
L00170,2025-09-14,,Facebook,Invisalign,Clinic A,Contacted - No Appointment,25,No,
L00171,2025-05-28,,Facebook,Teeth Whitening,Clinic D,Contacted - No Appointment,6,No,
L00172,2025-05-29,,Instagram,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00173,2025-11-24,,Google Organic,Teeth Whitening,Clinic C,Contacted - No Appointment,8,No,
L00174,2025-03-22,P00174,Google Ads,Root Canal,Clinic A,Appointment Booked,7,Yes,
L00175,2025-09-23,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,14,No,
L00176,2025-10-29,,Referral,Dental Implant,Clinic D,Contacted - No Appointment,17,No,
L00177,2025-03-21,P00177,Instagram,Root Canal,Clinic D,Appointment Booked,26,Yes,2025-02-04
L00178,2025-03-10,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,5,No,
L00179,2025-12-20,,Google Organic,Dental Crown,Clinic C,Contacted - No Appointment,38,No,
L00180,2025-10-09,P00180,Facebook,Dental Implant,Clinic D,Appointment Booked,12,Yes,
L00181,2025-03-17,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,21,No,
L00182,2025-04-09,P00182,Google Ads,Root Canal,Clinic C,Appointment Booked,40,Yes,
L00183,2025-04-02,,Facebook,General Dentistry,Clinic B,Contacted - No Appointment,17,No,
L00184,2025-11-11,P00184,Referral,Root Canal,Clinic C,Appointment Booked,19,Yes,
L00185,2025-11-15,,Google Ads,Dental Implant,Clinic A,Contacted - No Appointment,5,No,
L00186,2025-01-09,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,19,No,
L00187,2025-09-13,P00187,Referral,Teeth Whitening,Clinic A,Appointment Booked,60,Yes,
L00188,2025-06-28,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,7,No,
L00189,2025-11-26,,Instagram,Root Canal,Clinic B,Not Contacted/Cold,46,No,
L00190,2025-04-03,,Google Ads,Dental Implant,Clinic C,Contacted - No Appointment,24,No,
L00191,2025-02-08,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,6,No,
L00192,2025-02-07,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,4,No,
L00193,2025-01-11,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,10,No,
L00194,2025-03-07,P00194,Instagram,Invisalign,Clinic A,Appointment Booked,24,Yes,2025-08-03
L00195,2025-11-21,,Google Organic,General Dentistry,Clinic A,Contacted - No Appointment,36,No,
L00196,2025-12-20,,Google Organic,Invisalign,Clinic A,Contacted - No Appointment,34,No,
L00197,2025-05-22,P00197,Instagram,Dental Crown,Clinic D,Appointment Booked,33,Yes,
L00198,2025-07-25,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,8,No,
L00199,2025-02-08,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,24,No,
L00200,2025-10-03,P00200,Instagram,Root Canal,Clinic A,Appointment Booked,10,Yes,
L00201,2025-04-22,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,34,No,
L00202,2025-09-24,P00202,Instagram,Dental Implant,Clinic D,Appointment Booked,74,Yes,2025-04-10
L00203,2025-11-28,P00203,Instagram,Teeth Whitening,Clinic D,Appointment Booked,4,Yes,2025-07-12
L00204,2025-09-12,P00204,Google Ads,Teeth Whitening,Clinic C,Appointment Booked,9,Yes,
L00205,2025-02-04,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,37,No,
L00206,2025-12-29,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,26,No,
L00207,2025-09-05,,Referral,Invisalign,Clinic A,Contacted - No Appointment,30,No,
L00208,2025-09-29,P00208,Google Organic,Dental Implant,Clinic A,Appointment Booked,4,Yes,2025-04-10
L00209,2025-01-01,P00209,Instagram,Teeth Whitening,Clinic A,Appointment Booked,36,Yes,2025-06-01
L00210,2025-12-23,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,25,No,
L00211,2025-06-20,P00211,Google Ads,Invisalign,Clinic B,Appointment Booked,5,Yes,2025-01-07
L00212,2025-11-23,P00212,Referral,Dental Implant,Clinic D,Appointment Booked,24,Yes,2025-04-12
L00213,2025-01-30,,Referral,Dental Implant,Clinic C,Contacted - No Appointment,20,No,
L00214,2025-07-15,P00214,Google Ads,Invisalign,Clinic D,Appointment Booked,8,Yes,
L00215,2025-08-01,P00215,Google Organic,Teeth Whitening,Clinic C,Appointment Booked,12,Yes,2025-03-08
L00216,2025-06-19,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,32,No,
L00217,2025-12-04,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,17,No,
L00218,2025-12-09,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,40,No,
L00219,2025-05-02,,Instagram,General Dentistry,Clinic C,Contacted - No Appointment,10,No,
L00220,2025-04-07,P00220,Google Organic,Root Canal,Clinic B,Appointment Booked,20,Yes,
L00221,2025-01-24,P00221,Google Ads,Invisalign,Clinic D,Appointment Booked,7,Yes,2025-01-02
L00222,2025-01-14,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,10,No,
L00223,2025-07-20,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,42,No,
L00224,2025-05-17,P00224,Facebook,Invisalign,Clinic D,Appointment Booked,24,Yes,
L00225,2025-09-01,P00225,Facebook,Invisalign,Clinic A,Appointment Booked,29,Yes,2025-06-09
L00226,2025-09-29,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,15,No,
L00227,2025-08-24,,Facebook,Invisalign,Clinic C,Contacted - No Appointment,3,No,
L00228,2025-10-01,,Facebook,Dental Implant,Clinic D,Contacted - No Appointment,37,No,
L00229,2025-01-29,,Google Organic,Root Canal,Clinic D,Contacted - No Appointment,19,No,
L00230,2025-02-03,P00230,Instagram,General Dentistry,Clinic D,Appointment Booked,13,Yes,2025-12-02
L00231,2025-11-20,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,7,No,
L00232,2025-03-10,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,6,No,
L00233,2025-12-18,,Facebook,Invisalign,Clinic C,Contacted - No Appointment,27,No,
L00234,2025-09-18,P00234,Google Ads,Dental Implant,Clinic C,Appointment Booked,17,Yes,
L00235,2025-01-26,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,28,No,
L00236,2025-10-02,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,42,No,
L00237,2025-02-20,,Google Ads,Dental Crown,Clinic D,Contacted - No Appointment,22,No,
L00238,2025-03-09,P00238,Instagram,Teeth Whitening,Clinic D,Appointment Booked,15,Yes,
L00239,2025-01-05,P00239,Referral,Teeth Whitening,Clinic B,Appointment Booked,9,Yes,
L00240,2025-12-12,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,3,No,
L00241,2025-01-30,,Google Organic,Root Canal,Clinic B,Contacted - No Appointment,17,No,
L00242,2025-05-26,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,22,No,
L00243,2025-05-22,,Instagram,Dental Crown,Clinic C,Contacted - No Appointment,16,No,
L00244,2025-06-16,,Instagram,Dental Implant,Clinic B,Not Contacted/Cold,55,No,
L00245,2025-01-23,P00245,Referral,Invisalign,Clinic A,Appointment Booked,19,Yes,
L00246,2025-06-16,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,14,No,
L00247,2025-09-03,P00247,Facebook,Root Canal,Clinic B,Appointment Booked,19,Yes,2025-11-09
L00248,2025-05-14,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,12,No,
L00249,2025-07-08,P00249,Facebook,Dental Implant,Clinic C,Appointment Booked,6,Yes,2025-12-07
L00250,2025-03-25,P00250,Referral,Dental Crown,Clinic B,Appointment Booked,27,Yes,2025-06-04
L00251,2025-04-07,P00251,Google Organic,Dental Crown,Clinic C,Appointment Booked,18,Yes,
L00252,2025-09-26,,Google Organic,Teeth Whitening,Clinic A,Contacted - No Appointment,5,No,
L00253,2025-07-30,,Facebook,Dental Crown,Clinic D,Contacted - No Appointment,23,No,
L00254,2025-05-24,P00254,Referral,Dental Implant,Clinic B,Appointment Booked,20,Yes,2025-07-06
L00255,2025-01-01,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,26,No,
L00256,2025-06-07,P00256,Google Ads,Dental Implant,Clinic B,Appointment Booked,7,Yes,
L00257,2025-06-19,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,8,No,
L00258,2025-09-26,P00258,Google Ads,Teeth Whitening,Clinic C,Appointment Booked,16,Yes,
L00259,2025-07-31,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,17,No,
L00260,2025-04-29,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,17,No,
L00261,2025-05-31,P00261,Instagram,General Dentistry,Clinic B,Appointment Booked,19,Yes,2025-07-06
L00262,2025-07-14,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,11,No,
L00263,2025-03-17,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,37,No,
L00264,2025-08-22,,Google Organic,Invisalign,Clinic A,Contacted - No Appointment,25,No,
L00265,2025-03-30,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,20,No,
L00266,2025-02-19,,Referral,Teeth Whitening,Clinic D,Contacted - No Appointment,14,No,
L00267,2025-09-09,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,27,No,
L00268,2025-03-08,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,31,No,
L00269,2025-07-19,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,32,No,
L00270,2025-06-28,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,7,No,
L00271,2025-10-04,,Facebook,Teeth Whitening,Clinic C,Contacted - No Appointment,25,No,
L00272,2025-10-08,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,5,No,
L00273,2025-02-27,P00273,Google Ads,Root Canal,Clinic A,Appointment Booked,26,Yes,2025-02-03
L00274,2025-01-10,,Google Ads,General Dentistry,Clinic B,Contacted - No Appointment,24,No,
L00275,2025-01-03,P00275,Facebook,Invisalign,Clinic D,Appointment Booked,24,Yes,2025-10-01
L00276,2025-05-14,P00276,Google Ads,Root Canal,Clinic D,Appointment Booked,19,Yes,
L00277,2025-08-26,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,17,No,
L00278,2025-08-17,P00278,Facebook,General Dentistry,Clinic C,Appointment Booked,17,Yes,
L00279,2025-03-31,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,18,No,
L00280,2025-09-16,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,21,No,
L00281,2025-03-07,P00281,Facebook,General Dentistry,Clinic D,Appointment Booked,12,Yes,
L00282,2025-04-11,P00282,Facebook,Teeth Whitening,Clinic D,Appointment Booked,18,Yes,
L00283,2025-03-18,,Facebook,Teeth Whitening,Clinic D,Contacted - No Appointment,21,No,
L00284,2025-09-15,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,44,No,
L00285,2025-02-20,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,40,No,
L00286,2025-08-01,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,10,No,
L00287,2025-09-10,P00287,Facebook,General Dentistry,Clinic B,Appointment Booked,18,Yes,
L00288,2025-05-03,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,27,No,
L00289,2025-03-05,,Google Organic,Dental Implant,Clinic A,Contacted - No Appointment,2,No,
