date,platform,campaign,clinic,spend,impressions,clicks,leads
2025-01-07,Google Ads,General Dentistry,Clinic B,2961.65,28052,905,32
2025-01-07,Meta Ads,Dental Implant,Clinic C,11282.73,118241,7287,38
2025-01-07,Meta Ads,Invisalign,Clinic C,7436.6,128159,5655,15
2025-01-07,Meta Ads,Root Canal,Clinic C,7314.35,121862,6263,38
2025-01-07,Meta Ads,Dental Crown,Clinic C,5423.1,73184,2807,24
2025-01-07,Meta Ads,Teeth Whitening,Clinic C,2378.07,41883,2678,18
2025-01-07,Meta Ads,General Dentistry,Clinic C,5232.36,42201,2004,52
2025-01-07,Google Ads,Dental Implant,Clinic D,4818.39,81605,5303,18
2025-01-07,Google Ads,Invisalign,Clinic D,6871.86,64531,2659,25
2025-01-07,Instagram,Root Canal,Clinic D,4926.08,81091,4842,22
2025-01-07,Google Ads,Dental Crown,Clinic D,5886.23,59167,2623,27
2025-01-07,Google Ads,Teeth Whitening,Clinic D,2812.07,42037,1525,21
2025-01-07,Instagram,General Dentistry,Clinic D,3206.76,36941,1315,28
2025-01-08,Google Ads,Dental Implant,Clinic A,8295.91,128405,4977,24
2025-01-08,Google Ads,Invisalign,Clinic A,7564.89,109192,3836,18
2025-01-08,Google Ads,Root Canal,Clinic A,6582.22,87671,3629,37
2025-01-08,Meta Ads,Dental Crown,Clinic A,5280.55,55508,2374,26
2025-01-08,Meta Ads,Teeth Whitening,Clinic A,3300.01,36492,1006,30
2025-01-08,Instagram,General Dentistry,Clinic A,4447.29,74830,3883,48
2025-01-08,Meta Ads,Dental Implant,Clinic B,11372.18,158088,7836,33
2025-01-08,Google Ads,Invisalign,Clinic B,7524.36,114833,6227,22
2025-01-08,Meta Ads,Root Canal,Clinic B,6663.87,61513,2239,28
2025-01-08,Google Ads,Dental Crown,Clinic B,4088.17,39171,1931,24
2025-01-08,Meta Ads,Teeth Whitening,Clinic B,3857.83,56506,3594,36
2025-01-08,Google Ads,General Dentistry,Clinic B,5799.88,46581,1215,64
2025-01-08,Google Ads,Dental Implant,Clinic C,4519.97,60556,3452,16
2025-01-08,Meta Ads,Invisalign,Clinic C,8068.85,92567,3454,24
2025-01-08,Google Ads,Root Canal,Clinic C,5356.0,46858,2358,21
2025-01-08,Meta Ads,Dental Crown,Clinic C,4254.64,38002,1778,23
2025-01-08,Google Ads,Teeth Whitening,Clinic C,4479.04,55492,2868,43
2025-01-08,Meta Ads,General Dentistry,Clinic C,4948.08,76648,3622,52
2025-01-08,Meta Ads,Dental Implant,Clinic D,5337.73,56901,1498,14
2025-01-08,Meta Ads,Invisalign,Clinic D,6771.03,113662,6241,20
2025-01-08,Google Ads,Root Canal,Clinic D,6348.84,107142,3739,39
2025-01-08,Meta Ads,Dental Crown,Clinic D,6544.74,62594,2896,38
2025-01-08,Google Ads,Teeth Whitening,Clinic D,3741.48,53183,1483,41
2025-01-08,Google Ads,General Dentistry,Clinic D,3443.35,44718,2352,35
2025-01-09,Meta Ads,Dental Implant,Clinic A,9699.14,112819,5884,29
2025-01-09,Google Ads,Invisalign,Clinic A,9801.0,88839,5162,28
2025-01-09,Google Ads,Root Canal,Clinic A,7052.72,73002,2220,33
2025-01-09,Meta Ads,Dental Crown,Clinic A,4922.07,70678,3179,23
2025-01-09,Meta Ads,Teeth Whitening,Clinic A,3702.97,50355,1816,34
2025-01-09,Meta Ads,General Dentistry,Clinic A,3415.31,45391,1175,31
2025-01-09,Meta Ads,Dental Implant,Clinic B,8751.03,118869,3190,28
2025-01-09,Instagram,Invisalign,Clinic B,7778.3,131761,8292,19
2025-01-09,Google Ads,Root Canal,Clinic B,9155.42,110564,4199,47
2025-01-09,Meta Ads,Dental Crown,Clinic B,4565.05,41121,1141,35
2025-01-09,Meta Ads,Teeth Whitening,Clinic B,4467.2,75714,4364,45
2025-01-09,Google Ads,General Dentistry,Clinic B,5010.57,81573,4791,54
2025-01-09,Google Ads,Dental Implant,Clinic C,9598.16,105446,4111,25
2025-01-09,Google Ads,Invisalign,Clinic C,8123.93,108751,4064,24
2025-01-09,Meta Ads,Root Canal,Clinic C,5629.9,61596,2316,28
2025-01-09,Meta Ads,Dental Crown,Clinic C,4538.13,39780,2344,21
2025-01-09,Meta Ads,Teeth Whitening,Clinic C,2284.53,22077,891,13
2025-01-09,Instagram,General Dentistry,Clinic C,4817.13,40809,1528,46
2025-01-09,Meta Ads,Dental Implant,Clinic D,11912.13,107631,5633,37
2025-01-09,Meta Ads,Invisalign,Clinic D,7610.71,129697,6225,27
2025-01-09,Meta Ads,Root Canal,Clinic D,5747.51,89337,4544,27
2025-01-09,Meta Ads,Dental Crown,Clinic D,4514.83,47784,1324,19
2025-01-09,Google Ads,Teeth Whitening,Clinic D,3808.53,53401,2928,31
2025-01-09,Meta Ads,General Dentistry,Clinic D,4504.07,43988,1545,38
2025-01-10,Instagram,Dental Implant,Clinic A,10421.26,86502,3484,37
2025-01-10,Meta Ads,Invisalign,Clinic A,8219.81,77233,3897,22
2025-01-10,Meta Ads,Root Canal,Clinic A,5966.32,64679,3806,34
2025-01-10,Google Ads,Dental Crown,Clinic A,4316.0,72323,4235,26
2025-01-10,Meta Ads,Teeth Whitening,Clinic A,3166.91,29530,1277,28
2025-01-10,Google Ads,General Dentistry,Clinic A,5210.83,44186,2843,48
2025-01-10,Google Ads,Dental Implant,Clinic B,7174.09,100608,2593,20
2025-01-10,Google Ads,Invisalign,Clinic B,8412.31,95018,4038,21
2025-01-10,Instagram,Root Canal,Clinic B,5073.86,47930,1984,25
2025-01-10,Meta Ads,Dental Crown,Clinic B,5453.64,63395,3953,28
2025-01-10,Meta Ads,Teeth Whitening,Clinic B,3952.55,52557,3101,37
2025-01-10,Google Ads,General Dentistry,Clinic B,5466.93,56925,3055,52
2025-01-10,Google Ads,Dental Implant,Clinic C,9867.8,123985,5162,33
2025-01-10,Meta Ads,Invisalign,Clinic C,6744.33,53963,2432,24
2025-01-10,Google Ads,Root Canal,Clinic C,8609.08,93270,4216,46
2025-01-10,Google Ads,Dental Crown,Clinic C,3144.62,36761,1770,15
2025-01-10,Meta Ads,Teeth Whitening,Clinic C,4382.62,40424,1934,34
2025-01-10,Meta Ads,General Dentistry,Clinic C,4671.26,45127,2690,53
2025-01-10,Google Ads,Dental Implant,Clinic D,9563.28,100783,4371,29
2025-01-10,Meta Ads,Invisalign,Clinic D,6788.78,104375,3611,19
2025-01-10,Meta Ads,Root Canal,Clinic D,6628.88,99855,2643,39
2025-01-10,Google Ads,Dental Crown,Clinic D,4516.24,44384,2236,20
2025-01-10,Google Ads,Teeth Whitening,Clinic D,3629.39,42757,2596,37
2025-01-10,Meta Ads,General Dentistry,Clinic D,4961.36,70164,2783,52
2025-01-11,Google Ads,Dental Implant,Clinic A,7297.02,118781,7429,26
2025-01-11,Google Ads,Invisalign,Clinic A,7407.76,86837,2390,22
2025-01-11,Google Ads,Root Canal,Clinic A,8415.07,110987,6939,49
2025-01-11,Meta Ads,Dental Crown,Clinic A,4317.61,57073,1843,20
2025-01-11,Meta Ads,Teeth Whitening,Clinic A,3246.22,48089,1508,30
2025-01-11,Google Ads,General Dentistry,Clinic A,3920.81,52212,2535,41
2025-01-11,Google Ads,Dental Implant,Clinic B,10155.77,128084,6583,27
2025-01-11,Meta Ads,Invisalign,Clinic B,9650.26,120561,4913,30
2025-01-11,Meta Ads,Root Canal,Clinic B,5840.51,94540,3019,42
2025-01-11,Meta Ads,Dental Crown,Clinic B,5394.89,94146,4266,31
2025-01-11,Google Ads,Teeth Whitening,Clinic B,4602.06,37606,1202,41
2025-01-11,Instagram,General Dentistry,Clinic B,4013.94,69821,2567,37
2025-01-11,Google Ads,Dental Implant,Clinic C,8677.51,112281,5323,31
2025-01-11,Meta Ads,Invisalign,Clinic C,7755.95,107575,4559,20
2025-01-11,Google Ads,Root Canal,Clinic C,7021.16,57646,1780,36
2025-01-11,Google Ads,Dental Crown,Clinic C,4840.32,60698,3603,27
2025-01-11,Google Ads,Teeth Whitening,Clinic C,2649.73,30796,1666,18
2025-01-11,Google Ads,General Dentistry,Clinic C,4947.84,60930,3685,51
2025-01-11,Google Ads,Dental Implant,Clinic D,7561.39,63352,1795,31
2025-01-11,Google Ads,Invisalign,Clinic D,6569.48,85588,4777,9
2025-01-11,Google Ads,Root Canal,Clinic D,5367.2,90083,2506,26
2025-01-11,Meta Ads,Dental Crown,Clinic D,6557.63,110817,4276,34
2025-01-11,Google Ads,Teeth Whitening,Clinic D,4035.66,57704,2292,39
2025-01-11,Meta Ads,General Dentistry,Clinic D,4473.45,61423,3763,40
2025-01-12,Instagram,Dental Implant,Clinic A,9271.4,148007,6876,28
2025-01-12,Google Ads,Invisalign,Clinic A,6922.05,101255,2796,15
2025-01-12,Meta Ads,Root Canal,Clinic A,6221.57,76248,3284,29
2025-01-12,Meta Ads,Dental Crown,Clinic A,4817.95,69432,4356,25
2025-01-12,Meta Ads,Teeth Whitening,Clinic A,3726.92,48131,1868,34
2025-01-12,Instagram,General Dentistry,Clinic A,4198.2,67297,2878,41
2025-01-12,Meta Ads,Dental Implant,Clinic B,8441.17,67921,3311,28
2025-01-12,Instagram,Invisalign,Clinic B,4864.91,84597,5444,15
2025-01-12,Meta Ads,Root Canal,Clinic B,7084.11,82752,3176,36
2025-01-12,Meta Ads,Dental Crown,Clinic B,6009.78,52987,2720,32
2025-01-12,Meta Ads,Teeth Whitening,Clinic B,3363.68,36832,1843,34
2025-01-12,Meta Ads,General Dentistry,Clinic B,4232.71,45019,1571,41
2025-01-12,Meta Ads,Dental Implant,Clinic C,13020.2,106075,6870,49
2025-01-12,Meta Ads,Invisalign,Clinic C,6949.84,103850,4818,19
2025-01-12,Meta Ads,Root Canal,Clinic C,5453.44,61558,1582,30
2025-01-12,Instagram,Dental Crown,Clinic C,5000.42,77378,2255,25
2025-01-12,Meta Ads,Teeth Whitening,Clinic C,3721.74,65023,3559,29
2025-01-12,Google Ads,General Dentistry,Clinic C,5132.01,69503,4274,49
2025-01-12,Google Ads,Dental Implant,Clinic D,8286.74,104971,6177,29
2025-01-12,Google Ads,Invisalign,Clinic D,7338.06,96364,4641,27
2025-01-12,Google Ads,Root Canal,Clinic D,4585.93,65713,3524,22
2025-01-12,Meta Ads,Dental Crown,Clinic D,5940.48,47795,2804,41
2025-01-12,Google Ads,Teeth Whitening,Clinic D,2917.35,42660,1622,25
2025-01-12,Google Ads,General Dentistry,Clinic D,5494.29,51010,1559,58
2025-01-13,Meta Ads,Dental Implant,Clinic A,9107.09,137675,6610,32
2025-01-13,Google Ads,Invisalign,Clinic A,6646.89,90808,5158,16
2025-01-13,Instagram,Root Canal,Clinic A,5254.49,68011,3771,32
2025-01-13,Meta Ads,Dental Crown,Clinic A,5165.43,91292,5149,25
2025-01-13,Google Ads,Teeth Whitening,Clinic A,3312.2,49890,2355,24
2025-01-13,Google Ads,General Dentistry,Clinic A,5075.18,51044,1413,52
2025-01-13,Meta Ads,Dental Implant,Clinic B,10864.79,148477,6257,38
2025-01-13,Instagram,Invisalign,Clinic B,7369.1,125828,8146,26
2025-01-13,Google Ads,Root Canal,Clinic B,5879.53,68002,3230,29
2025-01-13,Meta Ads,Dental Crown,Clinic B,6326.43,79616,4202,43
2025-01-13,Meta Ads,Teeth Whitening,Clinic B,4069.11,67558,3249,37
2025-01-13,Google Ads,General Dentistry,Clinic B,4595.14,73865,2009,47
2025-01-13,Instagram,Dental Implant,Clinic C,10770.29,98021,5245,40
2025-01-13,Google Ads,Invisalign,Clinic C,7772.72,63982,2008,20
2025-01-13,Meta Ads,Root Canal,Clinic C,6054.93,98289,4346,33
2025-01-13,Instagram,Dental Crown,Clinic C,4635.94,58281,2650,29
2025-01-13,Meta Ads,Teeth Whitening,Clinic C,3559.89,43806,1691,29
2025-01-13,Google Ads,General Dentistry,Clinic C,4384.55,55009,2459,44
2025-01-13,Meta Ads,Dental Implant,Clinic D,12793.91,153377,8243,44
2025-01-13,Google Ads,Invisalign,Clinic D,8898.19,139296,6978,23
2025-01-13,Meta Ads,Root Canal,Clinic D,6958.44,62430,2517,35
2025-01-13,Meta Ads,Dental Crown,Clinic D,3815.77,60722,3921,29
2025-01-13,Google Ads,Teeth Whitening,Clinic D,3466.7,37696,1947,28
2025-01-13,Meta Ads,General Dentistry,Clinic D,2697.74,27265,914,26
2025-01-14,Google Ads,Dental Implant,Clinic A,7169.64,80731,3390,28
2025-01-14,Instagram,Invisalign,Clinic A,7614.42,83149,5319,19
2025-01-14,Google Ads,Root Canal,Clinic A,4916.31,39955,1541,27
2025-01-14,Meta Ads,Dental Crown,Clinic A,5966.56,99084,2935,36
2025-01-14,Google Ads,Teeth Whitening,Clinic A,3300.37,57661,3617,35
2025-01-14,Google Ads,General Dentistry,Clinic A,4152.5,49971,2931,42
2025-01-14,Google Ads,Dental Implant,Clinic B,8714.42,130428,6705,25
2025-01-14,Meta Ads,Invisalign,Clinic B,5924.43,50768,3181,14
2025-01-14,Google Ads,Root Canal,Clinic B,7626.13,86346,4458,37
2025-01-14,Instagram,Dental Crown,Clinic B,6166.48,109618,5879,31
2025-01-14,Google Ads,Teeth Whitening,Clinic B,3490.77,34661,1182,27
2025-01-14,Meta Ads,General Dentistry,Clinic B,3650.34,34812,897,36
2025-01-14,Google Ads,Dental Implant,Clinic C,9333.3,113379,6199,32
2025-01-14,Google Ads,Invisalign,Clinic C,7187.95,68466,1925,22
2025-01-14,Google Ads,Root Canal,Clinic C,6919.16,71957,3284,34
2025-01-14,Meta Ads,Dental Crown,Clinic C,4057.4,35586,2187,25
2025-01-14,Meta Ads,Teeth Whitening,Clinic C,2972.42,30960,1431,33
2025-01-14,Google Ads,General Dentistry,Clinic C,4965.17,77537,3703,54
2025-01-14,Meta Ads,Dental Implant,Clinic D,11173.74,114573,5987,39
2025-01-14,Meta Ads,Invisalign,Clinic D,12518.04,134218,3554,34
2025-01-14,Meta Ads,Root Canal,Clinic D,6453.85,105707,4990,37
2025-01-14,Instagram,Dental Crown,Clinic D,3694.16,61696,3517,20
2025-01-14,Google Ads,Teeth Whitening,Clinic D,3893.72,45933,2602,39
2025-01-14,Google Ads,General Dentistry,Clinic D,4630.83,77845,2351,40
2025-01-15,Meta Ads,Dental Implant,Clinic A,10334.94,147578,9243,37
2025-01-15,Meta Ads,Invisalign,Clinic A,8411.33,129321,5637,27
2025-01-15,Google Ads,Root Canal,Clinic A,6880.17,80943,3860,33
2025-01-15,Meta Ads,Dental Crown,Clinic A,5045.25,56229,3150,33
2025-01-15,Google Ads,Teeth Whitening,Clinic A,2972.38,34561,2037,30
2025-01-15,Google Ads,General Dentistry,Clinic A,4123.53,65949,3105,46
2025-01-15,Meta Ads,Dental Implant,Clinic B,10506.99,156917,6751,37
2025-01-15,Google Ads,Invisalign,Clinic B,8104.76,128335,8319,27
2025-01-15,Meta Ads,Root Canal,Clinic B,7291.91,78291,2772,36
2025-01-15,Google Ads,Dental Crown,Clinic B,4664.21,53759,2878,24
2025-01-15,Google Ads,Teeth Whitening,Clinic B,3422.83,28108,1254,23
2025-01-15,Instagram,General Dentistry,Clinic B,4078.31,66323,1919,49
2025-01-15,Google Ads,Dental Implant,Clinic C,9767.38,129839,3348,34
2025-01-15,Instagram,Invisalign,Clinic C,7368.09,119275,4976,20
2025-01-15,Google Ads,Root Canal,Clinic C,6271.21,88286,5113,38
2025-01-15,Meta Ads,Dental Crown,Clinic C,4993.65,75151,4603,26
2025-01-15,Meta Ads,Teeth Whitening,Clinic C,2964.64,34288,1008,23
2025-01-15,Meta Ads,General Dentistry,Clinic C,4636.58,61822,2790,48
