Lead_ID,Lead_Date,Patient_ID,Lead_Source,Campaign,Clinic,Lead_Status,First_Response_Minutes,Appointment_Booked,Appointment_Date
L00058,22-08-2025,P00058,Referral,Root Canal,Clinic B,Appointment Booked,13,Yes,26-08-2025
L00059,22-08-2025,,Referral,Dental Crown,Clinic D,Contacted - No Appointment,25,No,
L00060,09-02-2025,P00060,Facebook,Dental Crown,Clinic A,Appointment Booked,13,Yes,20-02-2025
L00061,04-07-2025,P00061,Instagram,Dental Implant,Clinic D,Appointment Booked,22,Yes,08-07-2025
L00062,10-05-2025,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,27,No,
L00063,17-01-2025,P00063,Google Organic,Invisalign,Clinic A,Appointment Booked,29,Yes,23-01-2025
L00064,14-07-2025,P00064,Google Organic,General Dentistry,Clinic B,Appointment Booked,4,Yes,19-07-2025
L00065,04-08-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,13,No,
L00066,14-08-2025,,Google Ads,Teeth Whitening,Clinic D,Contacted - No Appointment,22,No,
L00067,27-11-2025,,Referral,Invisalign,Clinic B,Contacted - No Appointment,17,No,
L00068,12-05-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,30,No,
L00069,27-06-2025,,Instagram,Invisalign,Clinic C,Contacted - No Appointment,7,No,
L00070,30-08-2025,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,28,No,
L00071,31-01-2025,P00071,Facebook,Dental Crown,Clinic B,Appointment Booked,11,Yes,03-02-2025
L00072,29-05-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,13,No,
L00073,10-09-2025,,Facebook,Invisalign,Clinic A,Contacted - No Appointment,35,No,
L00074,06-06-2025,,Instagram,Dental Crown,Clinic A,Not Contacted/Cold,54,No,
L00075,16-03-2025,P00075,Google Ads,Teeth Whitening,Clinic B,Appointment Booked,21,Yes,21-03-2025
L00076,02-06-2025,,Facebook,Dental Implant,Clinic B,Contacted - No Appointment,43,No,
L00077,22-01-2025,,Referral,Root Canal,Clinic B,Contacted - No Appointment,13,No,
L00078,18-02-2025,P00078,Instagram,Root Canal,Clinic B,Appointment Booked,44,Yes,23-02-2025
L00079,07-05-2025,,Referral,Root Canal,Clinic B,Contacted - No Appointment,21,No,
L00080,08-11-2025,P00080,Referral,Invisalign,Clinic A,Appointment Booked,9,Yes,17-11-2025
L00081,24-09-2025,,Referral,Dental Crown,Clinic B,Contacted - No Appointment,6,No,
L00082,16-12-2025,P00082,Referral,Invisalign,Clinic D,Appointment Booked,67,Yes,30-12-2025
L00083,13-06-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,40,No,
L00084,09-08-2025,,Referral,General Dentistry,Clinic B,Contacted - No Appointment,12,No,
L00085,28-08-2025,,Google Ads,Dental Crown,Clinic C,Contacted - No Appointment,43,No,
L00086,16-09-2025,P00086,Google Ads,Dental Crown,Clinic D,Appointment Booked,7,Yes,30-09-2025
L00087,14-09-2025,P00087,Google Ads,Dental Implant,Clinic A,Appointment Booked,12,Yes,20-09-2025
L00088,04-01-2025,P00088,Facebook,General Dentistry,Clinic C,Appointment Booked,10,Yes,16-01-2025
L00089,11-02-2025,,Instagram,Invisalign,Clinic C,Contacted - No Appointment,13,No,
L00090,12-11-2025,,Facebook,Dental Crown,Clinic C,Not Contacted/Cold,46,No,
L00091,26-03-2025,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,31,No,
L00092,09-08-2025,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,17,No,
L00093,10-04-2025,P00093,Facebook,Teeth Whitening,Clinic A,Appointment Booked,36,Yes,17-04-2025
L00094,13-08-2025,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,2,No,
L00095,28-07-2025,P00095,Google Ads,Dental Implant,Clinic C,Appointment Booked,18,Yes,08-08-2025
L00096,26-08-2025,,Google Ads,Teeth Whitening,Clinic A,Not Contacted/Cold,47,No,
L00097,26-07-2025,P00097,Google Ads,Dental Implant,Clinic D,Appointment Booked,11,Yes,07-08-2025
L00098,05-02-2025,,Facebook,Teeth Whitening,Clinic A,Contacted - No Appointment,31,No,
L00099,06-11-2025,,Instagram,Dental Implant,Clinic D,Contacted - No Appointment,16,No,
L00100,08-05-2025,P00100,Facebook,General Dentistry,Clinic B,Appointment Booked,27,Yes,20-05-2025
L00101,07-01-2025,P00101,Facebook,Dental Implant,Clinic A,Appointment Booked,22,Yes,14-01-2025
L00102,03-02-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,23,No,
L00103,16-09-2025,P00103,Facebook,Dental Crown,Clinic D,Appointment Booked,7,Yes,18-09-2025
L00104,03-11-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,20,No,
L00105,12-01-2025,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,17,No,
L00106,07-09-2025,,Google Organic,Root Canal,Clinic B,Contacted - No Appointment,3,No,
L00107,08-02-2025,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,11,No,
L00108,19-10-2025,P00108,Google Ads,Root Canal,Clinic C,Appointment Booked,10,Yes,29-10-2025
L00109,13-09-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,29,No,
L00110,12-10-2025,P00110,Google Organic,Dental Crown,Clinic B,Appointment Booked,30,Yes,22-10-2025
L00111,01-02-2025,P00111,Google Organic,Invisalign,Clinic A,Appointment Booked,9,Yes,11-02-2025
L00112,31-01-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,16,No,
L00113,10-02-2025,,Instagram,Root Canal,Clinic B,Contacted - No Appointment,4,No,
L00114,16-09-2025,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,9,No,
L00115,03-08-2025,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,20,No,
L00116,30-09-2025,,Google Organic,General Dentistry,Clinic B,Not Contacted/Cold,58,No,
L00117,30-06-2025,P00117,Referral,Dental Implant,Clinic B,Appointment Booked,38,Yes,10-07-2025
L00118,08-05-2025,,Google Ads,Dental Crown,Clinic D,Contacted - No Appointment,41,No,
L00119,15-01-2025,P00119,Google Organic,Root Canal,Clinic D,Appointment Booked,9,Yes,24-01-2025
L00120,25-12-2025,P00120,Google Organic,Dental Implant,Clinic D,Appointment Booked,12,Yes,29-12-2025
L00121,22-09-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,13,No,
L00122,01-03-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,32,No,
L00123,30-07-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,14,No,
L00124,01-01-2025,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,31,No,
L00125,05-05-2025,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,19,No,
L00126,17-03-2025,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,33,No,
L00127,26-11-2025,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,43,No,
L00128,31-07-2025,P00128,Google Organic,Teeth Whitening,Clinic D,Appointment Booked,13,Yes,07-08-2025
L00129,19-06-2025,P00129,Google Organic,General Dentistry,Clinic B,Appointment Booked,27,Yes,02-07-2025
L00130,09-08-2025,P00130,Google Ads,Dental Implant,Clinic C,Appointment Booked,5,Yes,19-08-2025
L00131,02-10-2025,P00131,Facebook,Teeth Whitening,Clinic B,Appointment Booked,14,Yes,14-10-2025
L00132,08-11-2025,,Referral,Dental Crown,Clinic A,Contacted - No Appointment,24,No,
L00133,28-05-2025,,Facebook,Dental Implant,Clinic C,Not Contacted/Cold,58,No,
L00134,25-06-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,18,No,
L00135,05-07-2025,,Google Organic,Dental Implant,Clinic B,Not Contacted/Cold,47,No,
L00136,21-01-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,39,No,
L00137,02-05-2025,P00137,Referral,Root Canal,Clinic C,Appointment Booked,11,Yes,08-05-2025
L00138,25-02-2025,,Facebook,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00139,08-10-2025,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,6,No,
L00140,07-08-2025,P00140,Google Ads,Dental Crown,Clinic D,Appointment Booked,97,Yes,21-08-2025
L00141,05-07-2025,P00141,Google Ads,Invisalign,Clinic B,Appointment Booked,16,Yes,10-07-2025
L00142,09-08-2025,,Google Ads,Dental Crown,Clinic B,Contacted - No Appointment,32,No,
L00143,10-12-2025,,Google Organic,Teeth Whitening,Clinic C,Contacted - No Appointment,31,No,
L00144,12-05-2025,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,14,No,
L00145,19-11-2025,P00145,Referral,Teeth Whitening,Clinic D,Appointment Booked,10,Yes,24-11-2025
L00146,14-02-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,20,No,
L00147,05-07-2025,,Facebook,Dental Implant,Clinic C,Contacted - No Appointment,42,No,
L00148,09-11-2025,P00148,Facebook,Invisalign,Clinic C,Appointment Booked,13,Yes,10-11-2025
L00149,31-10-2025,,Google Organic,Dental Crown,Clinic D,Not Contacted/Cold,47,No,
L00150,25-07-2025,P00150,Facebook,Root Canal,Clinic A,Appointment Booked,25,Yes,01-08-2025
L00151,18-05-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,8,No,
L00152,24-03-2025,,Referral,Dental Crown,Clinic C,Contacted - No Appointment,6,No,
L00153,22-02-2025,,Facebook,Root Canal,Clinic B,Contacted - No Appointment,26,No,
L00154,30-06-2025,P00154,Google Ads,Root Canal,Clinic B,Appointment Booked,13,Yes,03-07-2025
L00155,09-11-2025,,Facebook,Teeth Whitening,Clinic B,Not Contacted/Cold,47,No,
L00156,26-08-2025,P00156,Instagram,Root Canal,Clinic C,Appointment Booked,29,Yes,03-09-2025
L00157,31-08-2025,P00157,Google Ads,Dental Implant,Clinic D,Appointment Booked,21,Yes,13-09-2025
L00158,03-04-2025,P00158,Google Organic,Dental Implant,Clinic C,Appointment Booked,11,Yes,15-04-2025
L00159,01-06-2025,,Instagram,General Dentistry,Clinic C,Not Contacted/Cold,58,No,
L00160,24-09-2025,,Instagram,General Dentistry,Clinic C,Contacted - No Appointment,7,No,
L00161,24-08-2025,,Facebook,Dental Crown,Clinic A,Contacted - No Appointment,19,No,
L00162,05-03-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,17,No,
L00163,07-08-2025,,Google Ads,General Dentistry,Clinic B,Contacted - No Appointment,22,No,
L00164,22-11-2025,,Instagram,Dental Crown,Clinic B,Contacted - No Appointment,5,No,
L00165,22-06-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,4,No,
L00166,06-01-2025,,Google Organic,Teeth Whitening,Clinic B,Contacted - No Appointment,10,No,
L00167,30-04-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,13,No,
L00168,28-05-2025,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,14,No,
L00169,25-04-2025,P00169,Google Organic,Invisalign,Clinic B,Appointment Booked,11,Yes,26-04-2025
L00170,14-09-2025,,Facebook,Invisalign,Clinic A,Contacted - No Appointment,25,No,
L00171,28-05-2025,,Facebook,Teeth Whitening,Clinic D,Contacted - No Appointment,6,No,
L00172,29-05-2025,,Instagram,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00173,24-11-2025,,Google Organic,Teeth Whitening,Clinic C,Contacted - No Appointment,8,No,
L00174,22-03-2025,P00174,Google Ads,Root Canal,Clinic A,Appointment Booked,7,Yes,25-03-2025
L00175,23-09-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,14,No,
L00176,29-10-2025,,Referral,Dental Implant,Clinic D,Contacted - No Appointment,17,No,
L00177,21-03-2025,P00177,Instagram,Root Canal,Clinic D,Appointment Booked,26,Yes,02-04-2025
L00178,10-03-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,5,No,
L00179,20-12-2025,,Google Organic,Dental Crown,Clinic C,Contacted - No Appointment,38,No,
L00180,09-10-2025,P00180,Facebook,Dental Implant,Clinic D,Appointment Booked,12,Yes,22-10-2025
L00181,17-03-2025,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,21,No,
L00182,09-04-2025,P00182,Google Ads,Root Canal,Clinic C,Appointment Booked,40,Yes,18-04-2025
L00183,02-04-2025,,Facebook,General Dentistry,Clinic B,Contacted - No Appointment,17,No,
L00184,11-11-2025,P00184,Referral,Root Canal,Clinic C,Appointment Booked,19,Yes,18-11-2025
L00185,15-11-2025,,Google Ads,Dental Implant,Clinic A,Contacted - No Appointment,5,No,
L00186,09-01-2025,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,19,No,
L00187,13-09-2025,P00187,Referral,Teeth Whitening,Clinic A,Appointment Booked,60,Yes,19-09-2025
L00188,28-06-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,7,No,
L00189,26-11-2025,,Instagram,Root Canal,Clinic B,Not Contacted/Cold,46,No,
L00190,03-04-2025,,Google Ads,Dental Implant,Clinic C,Contacted - No Appointment,24,No,
L00191,08-02-2025,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,6,No,
L00192,07-02-2025,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,4,No,
L00193,11-01-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,10,No,
L00194,07-03-2025,P00194,Instagram,Invisalign,Clinic A,Appointment Booked,24,Yes,08-03-2025
L00195,21-11-2025,,Google Organic,General Dentistry,Clinic A,Contacted - No Appointment,36,No,
L00196,20-12-2025,,Google Organic,Invisalign,Clinic A,Contacted - No Appointment,34,No,
L00197,22-05-2025,P00197,Instagram,Dental Crown,Clinic D,Appointment Booked,33,Yes,28-05-2025
L00198,25-07-2025,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,8,No,
L00199,08-02-2025,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,24,No,
L00200,03-10-2025,P00200,Instagram,Root Canal,Clinic A,Appointment Booked,10,Yes,15-10-2025
L00201,22-04-2025,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,34,No,
L00202,24-09-2025,P00202,Instagram,Dental Implant,Clinic D,Appointment Booked,74,Yes,04-10-2025
L00203,28-11-2025,P00203,Instagram,Teeth Whitening,Clinic D,Appointment Booked,4,Yes,07-12-2025
L00204,12-09-2025,P00204,Google Ads,Teeth Whitening,Clinic C,Appointment Booked,9,Yes,13-09-2025
L00205,04-02-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,37,No,
L00206,29-12-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,26,No,
L00207,05-09-2025,,Referral,Invisalign,Clinic A,Contacted - No Appointment,30,No,
L00208,29-09-2025,P00208,Google Organic,Dental Implant,Clinic A,Appointment Booked,4,Yes,04-10-2025
L00209,01-01-2025,P00209,Instagram,Teeth Whitening,Clinic A,Appointment Booked,36,Yes,06-01-2025
L00210,23-12-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,25,No,
L00211,20-06-2025,P00211,Google Ads,Invisalign,Clinic B,Appointment Booked,5,Yes,01-07-2025
L00212,23-11-2025,P00212,Referral,Dental Implant,Clinic D,Appointment Booked,24,Yes,04-12-2025
L00213,30-01-2025,,Referral,Dental Implant,Clinic C,Contacted - No Appointment,20,No,
L00214,15-07-2025,P00214,Google Ads,Invisalign,Clinic D,Appointment Booked,8,Yes,20-07-2025
L00215,01-08-2025,P00215,Google Organic,Teeth Whitening,Clinic C,Appointment Booked,12,Yes,03-08-2025
L00216,19-06-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,32,No,
L00217,04-12-2025,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,17,No,
L00218,09-12-2025,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,40,No,
L00219,02-05-2025,,Instagram,General Dentistry,Clinic C,Contacted - No Appointment,10,No,
L00220,07-04-2025,P00220,Google Organic,Root Canal,Clinic B,Appointment Booked,20,Yes,16-04-2025
L00221,24-01-2025,P00221,Google Ads,Invisalign,Clinic D,Appointment Booked,7,Yes,01-02-2025
L00222,14-01-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,10,No,
L00223,20-07-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,42,No,
L00224,17-05-2025,P00224,Facebook,Invisalign,Clinic D,Appointment Booked,24,Yes,19-05-2025
L00225,01-09-2025,P00225,Facebook,Invisalign,Clinic A,Appointment Booked,29,Yes,06-09-2025
L00226,29-09-2025,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,15,No,
L00227,24-08-2025,,Facebook,Invisalign,Clinic C,Contacted - No Appointment,3,No,
L00228,01-10-2025,,Facebook,Dental Implant,Clinic D,Contacted - No Appointment,37,No,
L00229,29-01-2025,,Google Organic,Root Canal,Clinic D,Contacted - No Appointment,19,No,
L00230,03-02-2025,P00230,Instagram,General Dentistry,Clinic D,Appointment Booked,13,Yes,12-02-2025
L00231,20-11-2025,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,7,No,
L00232,10-03-2025,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,6,No,
L00233,18-12-2025,,Facebook,Invisalign,Clinic C,Contacted - No Appointment,27,No,
L00234,18-09-2025,P00234,Google Ads,Dental Implant,Clinic C,Appointment Booked,17,Yes,29-09-2025
L00235,26-01-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,28,No,
L00236,02-10-2025,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,42,No,
L00237,20-02-2025,,Google Ads,Dental Crown,Clinic D,Contacted - No Appointment,22,No,
L00238,09-03-2025,P00238,Instagram,Teeth Whitening,Clinic D,Appointment Booked,15,Yes,17-03-2025
L00239,05-01-2025,P00239,Referral,Teeth Whitening,Clinic B,Appointment Booked,9,Yes,16-01-2025
L00240,12-12-2025,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,3,No,
L00241,30-01-2025,,Google Organic,Root Canal,Clinic B,Contacted - No Appointment,17,No,
L00242,26-05-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,22,No,
L00243,22-05-2025,,Instagram,Dental Crown,Clinic C,Contacted - No Appointment,16,No,
L00244,16-06-2025,,Instagram,Dental Implant,Clinic B,Not Contacted/Cold,55,No,
L00245,23-01-2025,P00245,Referral,Invisalign,Clinic A,Appointment Booked,19,Yes,30-01-2025
L00246,16-06-2025,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,14,No,
L00247,03-09-2025,P00247,Facebook,Root Canal,Clinic B,Appointment Booked,19,Yes,11-09-2025
L00248,14-05-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,12,No,
L00249,08-07-2025,P00249,Facebook,Dental Implant,Clinic C,Appointment Booked,6,Yes,12-07-2025
L00250,25-03-2025,P00250,Referral,Dental Crown,Clinic B,Appointment Booked,27,Yes,06-04-2025
L00251,07-04-2025,P00251,Google Organic,Dental Crown,Clinic C,Appointment Booked,18,Yes,17-04-2025
L00252,26-09-2025,,Google Organic,Teeth Whitening,Clinic A,Contacted - No Appointment,5,No,
L00253,30-07-2025,,Facebook,Dental Crown,Clinic D,Contacted - No Appointment,23,No,
L00254,24-05-2025,P00254,Referral,Dental Implant,Clinic B,Appointment Booked,20,Yes,07-06-2025
L00255,01-01-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,26,No,
L00256,07-06-2025,P00256,Google Ads,Dental Implant,Clinic B,Appointment Booked,7,Yes,14-06-2025
L00257,19-06-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,8,No,
L00258,26-09-2025,P00258,Google Ads,Teeth Whitening,Clinic C,Appointment Booked,16,Yes,29-09-2025
L00259,31-07-2025,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,17,No,
L00260,29-04-2025,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,17,No,
L00261,31-05-2025,P00261,Instagram,General Dentistry,Clinic B,Appointment Booked,19,Yes,07-06-2025
L00262,14-07-2025,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,11,No,
L00263,17-03-2025,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,37,No,
L00264,22-08-2025,,Google Organic,Invisalign,Clinic A,Contacted - No Appointment,25,No,
L00265,30-03-2025,,Google Organic,Invisalign,Clinic C,Contacted - No Appointment,20,No,
L00266,19-02-2025,,Referral,Teeth Whitening,Clinic D,Contacted - No Appointment,14,No,
L00267,09-09-2025,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,27,No,
L00268,08-03-2025,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,31,No,
L00269,19-07-2025,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,32,No,
L00270,28-06-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,7,No,
L00271,04-10-2025,,Facebook,Teeth Whitening,Clinic C,Contacted - No Appointment,25,No,
L00272,08-10-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,5,No,
L00273,27-02-2025,P00273,Google Ads,Root Canal,Clinic A,Appointment Booked,26,Yes,02-03-2025
L00274,10-01-2025,,Google Ads,General Dentistry,Clinic B,Contacted - No Appointment,24,No,
L00275,03-01-2025,P00275,Facebook,Invisalign,Clinic D,Appointment Booked,24,Yes,10-01-2025
L00276,14-05-2025,P00276,Google Ads,Root Canal,Clinic D,Appointment Booked,19,Yes,15-05-2025
L00277,26-08-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,17,No,
L00278,17-08-2025,P00278,Facebook,General Dentistry,Clinic C,Appointment Booked,17,Yes,24-08-2025
L00279,31-03-2025,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,18,No,
L00280,16-09-2025,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,21,No,
L00281,07-03-2025,P00281,Facebook,General Dentistry,Clinic D,Appointment Booked,12,Yes,20-03-2025
